strategy_key,metric,sample_count,mean,median,p25,p75,p99,min,max,baseline_mean,improvement_percent
residency_topk_interior5_leaf0_i5_l0,average_improvement_percent,5,0.9788882601310211,0.20293122886133802,-0.4680552305172077,1.5801886792452873,5.793244626407366,-2.2138680033416773,5.793244626407366,45.242000000000004,0.9788882601310211
residency_topk_interior5_leaf0_i5_l0,major_page_faults,5,255.6,253.0,245.0,256.0,280.0,244.0,280.0,255.6,
residency_topk_interior5_leaf0_i5_l0,minor_page_faults,5,64.6,64.0,62.0,70.0,72.0,55.0,72.0,64.0,
residency_topk_interior5_leaf0_i5_l0,resident_after_cold_pages,5,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,
residency_topk_interior5_leaf0_i5_l0,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
residency_topk_interior5_leaf0_i5_l0,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
residency_topk_interior5_leaf5_i5_l5,prefetch_elapsed_us,5,232.6,291.0,137.0,294.0,308.0,133.0,308.0,,
residency_topk_interior5_leaf5_i5_l5,first_query_latency_us,5,87.686,19.77,18.21,19.97,363.16,17.32,363.16,241.50799999999998,73.71095076966874
residency_topk_interior5_leaf5_i5_l5,first_query_improvement_percent,5,73.71095076966874,89.68754890198737,89.41650325931421,91.87234992189242,92.08481857234257,5.49353319280713,92.08481857234257,241.50799999999998,73.71095076966874
residency_topk_interior5_leaf5_i5_l5,effective_first_query_latency_us,5,320.286,313.97,310.77,325.32,500.16,151.21,500.16,241.50799999999998,-34.96337145361384
residency_topk_interior5_leaf5_i5_l5,effective_first_query_improvement_percent,5,-34.96337145361384,-48.67013984096518,-62.10421991549735,-30.15848231712079,32.51060031243026,-66.39461550691613,32.51060031243026,241.50799999999998,-34.96337145361384
residency_topk_interior5_leaf5_i5_l5,average_latency_us,5,45.094,44.21,43.54,45.26,49.37,43.09,49.37,45.242000000000004,0.20595394578206744
residency_topk_interior5_leaf5_i5_l5,average_improvement_percent,5,0.20595394578206744,-1.6273584905660492,-1.8956236835946696,0.3156708004509596,7.34902763561925,-3.111946532999154,7.34902763561925,45.242000000000004,0.20595394578206744
residency_topk_interior5_leaf5_i5_l5,major_page_faults,5,255.6,253.0,245.0,256.0,280.0,244.0,280.0,255.6,
residency_topk_interior5_leaf5_i5_l5,minor_page_faults,5,64.8,64.0,63.0,70.0,72.0,55.0,72.0,64.0,
residency_topk_interior5_leaf5_i5_l5,resident_after_cold_pages,5,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,
residency_topk_interior5_leaf5_i5_l5,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
residency_topk_interior5_leaf5_i5_l5,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
